Location?,Interaction?,Use?,Completed?,Study ID,Search Term,Authors,Title,SO,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,d,Spartina alterniflora,"Gjerdrum, C; Elphick, CS; Rubega, M",,,,,,,,"Nest site selection and nesting success in Saltmarsh breeding sparrows: The importance of nest habitat, timing, and study site differences",,,,,,,,CONDOR,,,,107,4,,,849,862,,10.1650/7723.1,,,11/5/15,2005,,,,,,,,,,38,0,37,0,38,10/22/15,,WOS:000233390700011,,,,,,,,,,
,,,,d,Spartina alterniflora,"Nemerson, DM; Able, KW",,,,,,,,Juvenile sciaenid fishes respond favorably to Delaware Bay marsh restoration,,,,,,,,ECOLOGICAL ENGINEERING,,,,25,3,,,260,274,,10.1016/j.ecoleng.2005.04.006,,,9/20/05,2005,,,,,,,,,,12,0,10,0,12,0925-8574,,WOS:000236903400007,,,,,,,,,,
n,,,,,Spartina alterniflora,"Stachowicz, JJ; Whitlatch, RB",,,,,,,,Multiple mutualists provide complementary benefits to their seaweed host,,,,,,,,ECOLOGY,,,,86,9,,,2418,2427,,10.1890/04-0819,,,9/5/15,2005,,,,,,,,,,31,0,31,0,34,Dec-58,,WOS:000231373600017,,,,,,,,,,
,,,,d,Spartina alterniflora,"Weis, JS",,,,,,,,"Diet and food web support of the white perch, Morone americana, in the hackensack meadowlands of New Jersey",,,,,,,,ENVIRONMENTAL BIOLOGY OF FISHES,,,,74,1,,,109,113,,10.1007/s10641-005-6466-0,,,9/5/15,2005,,,,,,,,,,11,0,11,0,11,0378-1909,,WOS:000232620300012,,,,,,,,,,
,,,,d,Spartina alterniflora,"Gratton, C; Denno, RF",,,,,,,,Restoration of arthropod assemblages in a Spartina salt marsh following removal of the invasive plant Phragmites australis,,,,,,,,RESTORATION ECOLOGY,,,,13,2,,,358,372,,10.1111/j.1526-100X.2005.00045.x,,,6/5/15,2005,,,,,,,,,,71,1,73,0,79,1061-2971,,WOS:000229180600016,,,,,,,,,,
,,,,d,Spartina alterniflora,"Robertson, TL; Weis, JS",,,,,,,,A comparison of epifaunal communities associated with the stems of salt marsh grasses Phragmites australis and Spartina alterniflora,,,,,,,,WETLANDS,,,,25,1,,,1,7,,10.1672/0277-5212(2005)025[0001:ACOECA]2.0.CO;2,,,3/5/15,2005,,,,,,,,,,34,1,29,1,35,0277-5212,,WOS:000228542000001,,,,,,,,,,
,,,,d,Spartina alterniflora,"Neuman, Melissa J.; Ruess, Guillermo; Able, W.",,,,,,,,"Species composition and food habits of dominant fish predators in salt marshes of an urbanized estuary, the Hackensack Meadowlands, New Jersey.",,,,,,,,Urban Habitats,,,,2,1,,,62,82,,,,,12/4/15,2004,,,,,,,,,,0,0,0,0,0,1541-7115,,ZOOREC:ZOOR14205031525,,,,,,,,,,
,,,,d,Spartina alterniflora,"Litvin, SY; Weinstein, MP",,,,"Ross, Donald/F-7607-2012","Ross, Donald/0000-0002-8659-3833",,,Multivariate analysis of stable-isotope ratios to infer movements and utilization of estuarine organic matter by juvenile weakfish (Cynoscion regalis),,,,,,,,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,,,,61,10,,,1851,1861,,10.1139/F04-121,,,10/4/15,2004,,,,,,,,,,23,0,23,0,23,0706-652X,,WOS:000226595900005,,,,,,,,,,
,,,,d,Spartina alterniflora,"Denno, RF; Mitter, MS; Langellotto, GA; Gratton, C; Finke, DL",,,,,,,,Interactions between a hunting spider and a web-builder: consequences of intraguild predation and cannibalism for prey suppression,,,,,,,,ECOLOGICAL ENTOMOLOGY,,,,29,5,,,566,577,,10.1111/j.0307-6946.2004.00628.x,,,10/4/15,2004,,,,,,,,,,50,2,47,0,52,0307-6946,,WOS:000223905200006,,,,,,,,,,
,,,,d,Spartina alterniflora,"Weis, JS; Weis, P",,,,,,,,"Metal uptake, transport and release by wetland plants: implications for phytoremediation and restoration",,,,,,,,ENVIRONMENT INTERNATIONAL,,,,30,5,,,685,700,,10.1016/j.envint.2003.11.002,,,7/4/15,2004,,,,,,,,,,298,37,266,2,340,0160-4120,,WOS:000221501800010,15051245,,,,,,,,,
,,,,d,Spartina alterniflora,"Gratton, C; Denno, RF",,,,,,,,"Inter-year carryover effects of a nutrient pulse on Spartina plants, herbivores, and natural enemies",,,,,,,,ECOLOGY,,,,84,10,,,2692,2707,,10.1890/02-0666,,,10/3/15,2003,,,,,,,,,,36,0,36,0,37,Dec-58,,WOS:000186599300018,,,,,,,,,,
,n,n,,,Spartina alterniflora,"Pennings, SC; Selig, ER; Houser, LT; Bertness, MD",,,,"Pennings, Steven/A-8326-2013","Pennings, Steven/0000-0003-4757-7125",,,Geographic variation in positive and negative interactions among salt marsh plants,,,,,,,,ECOLOGY,,,,84,6,,,1527,1538,,10.1890/0012-9658(2003)084[1527:GVIPAN]2.0.CO;2,,,6/3/15,2003,,,,,,,,,,79,8,73,1,88,Dec-58,,WOS:000184451900022,,,,,,,,,,
,,,,d,Spartina alterniflora,"Denno, RF; Gratton, C; Dobel, H; Finke, DL",,,,,,,,Predation risk affects relative strength of top-down and bottom-up impacts on insect herbivores,,,,,,,,ECOLOGY,,,,84,4,,,1032,1044,,10.1890/0012-9658(2003)084[1032:PRARSO]2.0.CO;2,,,4/3/15,2003,,,,,,,,,,67,0,64,0,68,Dec-58,,WOS:000182813600023,,,,,,,,,,
,,,,d,Spartina alterniflora,"Chambers, RM; Osgood, DT; Bart, DJ; Montalto, F",,,,,,,,"Phragmites australis invasion and expansion in tidal wetlands: Interactions among salinity, sulfide, and hydrology",,,,,,,,ESTUARIES,,,,26,2B,,,398,406,,10.1007/BF02823716,,,4/3/15,2003,,,,,,,,,,42,1,39,0,45,0160-8347,,WOS:000184052700002,,,,,,,,,,
,,,,d,Spartina alterniflora,"Able, KW; Hagan, SM; Brown, SA",,,,,,,,Mechanisms of marsh habitat alteration due to phragmites: Response of young-of-the-year Mummichog (Fundulus heteroclitus) to treatment for Phragmites removal,,,,,,,,ESTUARIES,,,,26,2B,,,484,494,,10.1007/BF02823725,,,4/3/15,2003,,,,,,,,,,56,1,49,0,58,0160-8347,,WOS:000184052700011,,,,,,,,,,
,,,,d,Spartina alterniflora,"Currin, CA; Wainright, SC; Able, KW; Weinstein, MP; Fuller, CM",,,,,,,,"Determination of food web support and trophic position of the mummichog, Fundulus heteroclitus, in New Jersey smooth cordgrass (Spartina alterniflora), common reed (Phragmites australis), and restored salt marshes",,,,,,,,ESTUARIES,,,,26,2B,,,495,510,,10.1007/BF02823726,,,4/3/15,2003,,,,,,,,,,49,4,46,0,52,0160-8347,,WOS:000184052700012,,,,,,,,,,
,,,,d,Spartina alterniflora,"Raichel, DL; Able, KW; Hartman, JM",,,,,,,,"The influence of Phragmites (common reed) on the distribution, abundance, and potential prey of a resident marsh fish in the Hackensack Meadowlands, New Jersey",,,,,,,,ESTUARIES,,,,26,2B,,,511,521,,10.1007/BF02823727,,,4/3/15,2003,,,,,,,,,,31,0,29,0,33,0160-8347,,WOS:000184052700013,,,,,,,,,,
,,,,d,Spartina alterniflora,"Jivoff, PR; Able, KW",,,,,,,,"Blue crab, Callinectes sapidus, response to the invasive common reed, Phragmites australis: Abundance, size, sex ratio, and molting frequency",,,,,,,,ESTUARIES,,,,26,2B,,,587,595,,10.1007/BF02823733,,,4/3/15,2003,,,,,,,,,,10,0,8,0,10,0160-8347,,WOS:000184052700019,,,,,,,,,,
,,,,d,Spartina alterniflora,"Gratton, C; Denno, RF",,,,,,,,Seasonal shift from bottom-up to top-down impact in phytophagous insect populations,,,,,,,,OECOLOGIA,,,,134,4,,,487,495,,10.1007/s00442-002-1137-8,,,3/3/15,2003,,,,,,,,,,64,0,60,2,64,0029-8549,,WOS:000181582700005,12647120,,,,,,,,,
,,,,d,Spartina alterniflora,"Able, KW; Ragan, SM",,,,,,,,"Impact of common reed, Phragmites australis, on essential fish habitat: Influence on reproduction, embryological development, and larval abundance of mummichog (Fundulus heteroclitus)",,,,,,,,ESTUARIES,,,,26,1,,,40,50,,10.1007/BF02691692,,,2/3/15,2003,,,,,,24th Annual American-Fisheries-Society Conference,"NOV 06-10, 2000",Amer Fisheries Soc,"GULF SHORES, ALABAMA",49,2,41,0,52,0160-8347,,WOS:000181576900005,,,,,,,,,,
,n,n,,,Spartina alterniflora,"McCay, DPF; Rowe, JJ",,,,,,,,Habitat restoration as mitigation for lost production at multiple trophic levels,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,264,,,,233,247,,,,,2003,2003,,,,,,,,,,18,2,16,0,20,0171-8630,,WOS:000188586200020,,,,,,,,,,
,,,,d,Spartina alterniflora,"Posey, MH; Alphin, TD; Meyer, DL; Johnson, JM",,,,,,,,Benthic communities of common reed Phragmites australis and marsh cordgrass Spartina alterniflora marshes in Chesapeake Bay,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,261,,,,51,61,,10.3354/meps261051,,,2003,2003,,,,,,,,,,25,7,29,0,35,0171-8630,,WOS:000186704400004,,,,,,,,,,
,,,,d,Spartina alterniflora,"Smith, KJ; Able, KW",,,,,,,,Dissolved oxygen dynamics in salt marsh pools and its potential impacts on fish assemblages,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,258,,,,223,232,,10.3354/meps258223,,,2003,2003,,,,,,,,,,30,0,26,1,30,0171-8630,,WOS:000185560800021,,,,,,,,,,
,,,,d,Spartina alterniflora,"Ludlam, JP; Shull, DH; Buchsbaum, R",,,,,,,,Effects of haying on salt-marsh surface invertebrates,,,,,,,,BIOLOGICAL BULLETIN,,,,203,2,,,250,251,,10.2307/1543424,,,10/2/15,2002,,,,,,General Scientific Meeting of the Marine-Biological-Laboratory,"AUG 12-14, 2002",Marine Biol Lab,"WOODS HOLE, MASSACHUSETTS",4,0,3,0,4,Jun-85,,WOS:000179108500044,12414605,,,,,,,,,
,,,,d,Spartina alterniflora,"Warren, RS; Fell, PE; Rozsa, R; Brawley, AH; Orsted, AC; Olson, ET; Swamy, V; Niering, WA",,,,,,,,Salt marsh restoration in Connecticut: 20 years of science and management,,,,,,,,RESTORATION ECOLOGY,,,,10,3,,,497,513,,10.1046/j.1526-100X.2002.01031.x,,,9/2/15,2002,,,,,,15th Biennial Meeting of the Estuarine-Research-Federation,"SEP 25-30, 1999",Estuarine Res Federat,"NEW ORLEANS, LOUISIANA",66,1,65,0,72,1061-2971,,WOS:000177383400009,,,,,,,,,,
,,,,d,Spartina alterniflora,"Evgenidou, A; Valiela, I",,,,,,,,"Response of growth and density of a population of Geukensia demissa to land-derived nitrogen loading, in Waquoit bay, Massachusetts",,,,,,,,ESTUARINE COASTAL AND SHELF SCIENCE,,,,55,1,,,125,138,,10.1006/ecss.2001.0891,,,7/2/15,2002,,,,,,,,,,25,0,22,0,25,0272-7714,,WOS:000178831400009,,,,,,,,,,
,,,,d,Spartina alterniflora,"Denno, RF; Gratton, C; Peterson, MA; Langellotto, GA; Finke, DL; Huberty, AF",,,,,,,,Bottom-up forces mediate natural-enemy impact in a phytophagous insect community,,,,,,,,ECOLOGY,,,,83,5,,,1443,1458,,10.2307/3071956,,,5/2/15,2002,,,,,,,,,,139,3,139,0,146,Dec-58,,WOS:000175131300025,,,,,,,,,,
,,,,d,Spartina alterniflora,"DiQuinzio, DA; Paton, PWC; Eddleman, WR",,,,,,,,Nesting ecology of Saltmarsh Sharp-Tailed Sparrows in a tidally restricted salt marsh,,,,,,,,WETLANDS,,,,22,1,,,179,185,,10.1672/0277-5212(2002)022[0179:NEOSST]2.0.CO;2,,,3/2/15,2002,,,,,,,,,,15,0,17,0,17,0277-5212,,WOS:000174478700015,,,,,,,,,,
,,,,d,Spartina alterniflora,"Seliskar, DM; Gallagher, JL; Burdick, DM; Mutz, LA",,,,,,,,The regulation of ecosystem functions by ecotypic variation in the dominant plant: a Spartina alterniflora salt-marsh case study,,,,,,,,JOURNAL OF ECOLOGY,,,,90,1,,,1,11,,10.1046/j.0022-0477.2001.00632.x,,,2/2/15,2002,,,,,,,,,,57,9,60,0,71,0022-0477,,WOS:000174154500001,,,,,,,,,,
,,,,d,Spartina alterniflora,"Weis, Judith S.; Windham, Lisamarie; Santiago-Bass, Celine; Weis, Peddrick",,,,,,,,"Growth, survival, and metal content of marsh invertebrates fed diets of detritus from Spartina alterniflora Loisel. and Phragmites australis Cav. Trin. ex Steud. from metal-contaminated and clean sites",,,,,,,,Wetlands Ecology and Management,,,,10,1,,,71,84,,10.1023/A:1014311521708,,,2/1/02,2002,,,,,,,,,,18,2,17,0,21,0923-4861,,BCI:BCI200200248290,,,,,,,,,,
,,,,d,Spartina alterniflora,"Franz, DR",,,,,,,,"Recruitment, survivorship, and age structure of a New York ribbed mussel population (Geukensia demissa) in relation to shore level - A nine year study",,,,,,,,ESTUARIES,,,,24,3,,,319,327,,10.2307/1353234,,,6/1/15,2001,,,,,,,,,,5,0,5,0,5,0160-8347,,WOS:000170115700001,,,,,,,,,,
,,,,d,Spartina alterniflora,"Angradi, TR; Hagan, SM; Able, KW",,,,,,,,Vegetation type and the intertidal macroinvertebrate fauna of a brackish marsh: Phragmites vs. Spartina,,,,,,,,WETLANDS,,,,21,1,,,75,92,,10.1672/0277-5212(2001)021[0075:VTATIM]2.0.CO;2,,,3/1/15,2001,,,,,,,,,,67,3,56,0,72,0277-5212,,WOS:000167840100008,,,,,,,,,,
,,,,d,Spartina alterniflora,"Warren, RS; Fell, PE; Grimsby, JL; Buck, EL; Rilling, GC; Fertik, RA",,,,,,,,"Rates, patterns, and impacts of Phragmites australis expansion and effects of experimental Phragmites control on vegetation, macroinvertebrates, and fish within tidelands of the lower Connecticut River",,,,,,,,ESTUARIES,,,,24,1,,,90,107,,10.2307/1352816,,,2/1/15,2001,,,,,,,,,,84,0,66,0,85,0160-8347,,WOS:000168130900009,,,,,,,,,,
,,,,d,Spartina alterniflora,"Stocks, KI; Grassle, JF",,,,,,,,Effects of microalgae and food limitation on the recolonization of benthic macrofauna into in situ saltmarsh-pond mesocosms,,,,,,,,MARINE ECOLOGY PROGRESS SERIES,,,,221,,,,93,104,,10.3354/meps221093,,,2001,2001,,,,,,,,,,19,0,16,0,19,0171-8630,,WOS:000172382700008,,,,,,,,,,
,,,,d,Spartina alterniflora,"Denno, RF; Peterson, MA; Gratton, C; Cheng, JA; Langellotto, GA; Huberty, AF; Finke, DL",,,,,,,,Feeding-induced changes in plant quality mediate interspecific competition between sap-feeding herbivores,,,,,,,,ECOLOGY,,,,81,7,,,1814,1827,,10.1890/0012-9658(2000)081[1814:FICIPQ]2.0.CO;2,,,Jul-00,2000,,,,,,,,,,103,1,107,0,109,Dec-58,,WOS:000088214400005,,,,,,,,,,
,n,n,,,Spartina alterniflora,"Bergen, A.; Alderson, C.; Bergfors, R.; Aquila, C.; Matsil, M. A.",,,,,,,,"Restoration of a Spartina alterniflora salt marsh following a fuel oil spill, New York City, NY",,,,,,,,Wetlands Ecology and Management,,,,8,2/3/15,,,185,195,,10.1023/A:1008496519697,,,6/1/00,2000,,,,,,,,,,15,1,12,0,16,0923-4861,,BCI:BCI200000370561,,,,,,,,,,
,n,n,,,Spartina alterniflora,"Craft, C.",,,,,,,,Co-development of wetland soils and benthic invertebrate communities following salt marsh creation,,,,,,,,Wetlands Ecology and Management,,,,8,2/3/15,,,197,207,,10.1023/A:1008448620605,,,6/1/00,2000,,,,,,,,,,21,1,22,0,23,0923-4861,,BCI:BCI200000370562,,,,,,,,,,
,,,,d,Spartina alterniflora,"Weinstein, MP; Balletto, JH",,,,,,,,"Does the common reed, Phragmites australis, affect essential fish habitat?",,,,,,,,ESTUARIES,,,,22,3B,,,793,802,,10.2307/1353112,,,Sep-99,1999,,,,,,3rd Annual Marine and Estuarine Shallow Water Science and Management Conference,"DEC 01-05, 1996",,"ATLANTIC CITY, NJ",64,0,52,0,66,0160-8347,,WOS:000083142600008,,,,,,,,,,
,,,,d,Spartina alterniflora,"Bertness, MD; Leonard, GH",,,,,,,,The role of positive interactions in communities: Lessons from intertidal habitats,,,,,,,,ECOLOGY,,,,78,7,,,1976,1989,,10.1890/0012-9658(1997)078[1976:TROPII]2.0.CO;2,,,Oct-97,1997,,,,,,,,,,294,17,274,0,318,Dec-58,,WOS:A1997XZ78900005,,,,,,,,,,
,,,,d,Spartina alterniflora,"Morse, DH",,,,,,,,"Distribution, movement, and activity patterns of an intertidal wolf spider Pardosa lapidicina population (araneae, lycosidae)",,,,,,,,JOURNAL OF ARACHNOLOGY,,,,25,1,,,1,10,,,,,1997,1997,,,,,,,,,,26,0,24,0,27,0161-8202,,WOS:A1997XC98600001,,,,,,,,,,
,n,n,,,Spartina alterniflora,"Hacker, SD; Bertness, MD",,,,,,,,Trophic consequences of a positive plant interaction,,,,,,,,AMERICAN NATURALIST,,,,148,3,,,559,575,,10.1086/285939,,,Sep-96,1996,,,,,,,,,,34,0,33,2,34,0003-0147,,WOS:A1996VC52700006,,,,,,,,,,
,,,,d,Spartina alterniflora,"PECK, MA; FELL, PE; ALLEN, EA; GIEG, JA; GUTHKE, CR; NEWKIRK, MD",,,,,,,,"EVALUATION OF TIDAL MARSH RESTORATION - COMPARISON OF SELECTED MACROINVERTEBRATE POPULATIONS ON A RESTORED IMPOUNDED VALLEY MARSH AND AN UNIMPOUNDED VALLEY MARSH WITHIN THE SAME SALT-MARSH SYSTEM IN CONNECTICUT, USA",,,,,,,,ENVIRONMENTAL MANAGEMENT,,,,18,2,,,283,293,,10.1007/BF02393769,,,MAR-APR 1994,1994,,,,,,,,,,24,0,19,0,24,0364-152X,,WOS:A1994MT83700012,,,,,,,,,,
,,,,d,Spartina alterniflora,"BERTNESS, MD; SHUMWAY, SW",,,,,,,,CONSUMER DRIVEN POLLEN LIMITATION OF SEED PRODUCTION IN MARSH GRASSES,,,,,,,,AMERICAN JOURNAL OF BOTANY,,,,79,3,,,288,293,,10.2307/2445017,,,Mar-92,1992,,,,,,,,,,44,3,41,0,47,2/22/15,,WOS:A1992HL05100007,,,,,,,,,,
,,,,d,Spartina alterniflora,"BERTNESS, MD",,,,,,,,ZONATION OF SPARTINA-PATENS AND SPARTINA-ALTERNIFLORA IN A NEW-ENGLAND SALT-MARSH,,,,,,,,ECOLOGY,,,,72,1,,,138,148,,10.2307/1938909,,,Feb-91,1991,,,,,,,,,,219,7,194,0,231,Dec-58,,WOS:A1991EU72300015,,,,,,,,,,
,,,,u,Spartina alterniflora,"DOBEL, HG; DENNO, RF; CODDINGTON, JA",,,,,,,,SPIDER (ARANEAE) COMMUNITY STRUCTURE IN AN INTERTIDAL SALT-MARSH - EFFECTS OF VEGETATION STRUCTURE AND TIDAL FLOODING,,,,,,,,ENVIRONMENTAL ENTOMOLOGY,,,,19,5,,,1356,1370,,,,,Oct-90,1990,,,,,,,,,,49,0,47,1,49,0046-225X,,WOS:A1990EE75800023,,,,,,,,,,
,,,,d,Spartina alterniflora,"DAVANZO, C; VALIELA, I",,,,,,,,USE OF DETRITAL FOODS AND ASSIMILATION OF NITROGEN BY COASTAL DETRITIVORES,,,,,,,,ESTUARIES,,,,13,1,,,20,24,,10.2307/1351428,,,Mar-90,1990,,,,,,,,,,25,0,22,0,25,0160-8347,,WOS:A1990CY82500004,,,,,,,,,,
,,,,d,Spartina alterniflora,"RIETSMA, CS; VALIELA, I; BUCHSBAUM, R",,,,,,,,"DETRITAL CHEMISTRY, GROWTH, AND FOOD CHOICE IN THE SALT-MARSH SNAIL (MELAMPUS-BIDENTATUS)",,,,,,,,ECOLOGY,,,,69,1,,,261,266,,10.2307/1943181,,,Feb-88,1988,,,,,,,,,,25,0,22,0,25,Dec-58,,WOS:A1988L798500029,,,,,,,,,,
,,,,d,Spartina alterniflora,"Denno, R.F.",,,,,,"Hook, D.D.; McKee, W.H., Jr; Smith, H.K.; Gregory, J.; Burrell, V.G., Jr; DeVoe, M.R.; Sojka, R.E.; Gilbert, S.; Banks, R.; Stolzy, L.H.; Brooks, C.; Matthews, T.D.; Shear, T.H.",,Herbivore population dynamics in intertidal marshlands: the role of host plant nutrition.,,,,,,,,The ecology and management of wetlands. Volume 1: ecology of wetlands.,,,,,,,,535,547,,,,,1988,1988,,,,,,,,,,0,0,0,0,0,,,ZOOREC:ZOOR12500005190,,,,,,,,,,
,n,n,,,Spartina alterniflora,"HOWES, BL; DACEY, JWH; GOEHRINGER, DD",,,,,,,,"FACTORS CONTROLLING THE GROWTH FORM OF SPARTINA-LATERNIFLORA - FEEDBACKS BETWEEN ABOVEGROUND PRODUCTION, SEDIMENT OXIDATION, NITROGEN AND SALINITY",,,,,,,,JOURNAL OF ECOLOGY,,,,74,3,,,881,898,,10.2307/2260404,,,Sep-86,1986,,,,,,,,,,143,5,121,0,149,0022-0477,,WOS:A1986D985700019,,,,,,,,,,
,,,,d,Spartina alterniflora,"PETERSON, BJ; HOWARTH, RW; GARRITT, RH",,,,,,,,SULFUR AND CARBON ISOTOPES AS TRACERS OF SALT-MARSH ORGANIC-MATTER FLOW,,,,,,,,ECOLOGY,,,,67,4,,,865,874,,10.2307/1939809,,,Aug-86,1986,,,,,,,,,,141,2,122,0,142,Dec-58,,WOS:A1986D369900005,,,,,,,,,,
,,,,101,Spartina alterniflora,"BUCHSBAUM, R; WILSON, J; VALIELA, I",,,,,,,,DIGESTIBILITY OF PLANT CONSTITUENTS BY CANADA GEESE AND ATLANTIC BRANT,,,,,,,,ECOLOGY,,,,67,2,,,386,393,,10.2307/1938581,,,Apr-86,1986,,,,,,,,,,79,1,78,1,84,Dec-58,,WOS:A1986A631500009,,,,,,,,,,
,n,n,,,Spartina alterniflora,"VALIELA, I; TEAL, JM; ALLEN, SD; VANETTEN, R; GOEHRINGER, D; VOLKMANN, S",,,,,,,,DECOMPOSITION IN SALT-MARSH ECOSYSTEMS - THE PHASES AND MAJOR FACTORS AFFECTING DISAPPEARANCE OF ABOVE-GROUND ORGANIC-MATTER,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,89,1,,,29,54,,10.1016/0022-0981(85)90080-2,,,1985,1985,,,,,,,,,,142,3,122,1,148,0022-0981,,WOS:A1985AMB3800003,,,,,,,,,,
,,,,d,Spartina alterniflora,"HARDWICKWITMAN, MN",,,,,,,,BIOLOGICAL CONSEQUENCES OF ICE RAFTING IN A NEW-ENGLAND SALT-MARSH COMMUNITY,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,87,3,,,283,298,,10.1016/0022-0981(85)90211-4,,,1985,1985,,,,,,,,,,27,0,22,0,27,0022-0981,,WOS:A1985AJN8500007,,,,,,,,,,
,,,,d,Spartina alterniflora,"BERTNESS, MD",,,,,,,,HABITAT AND COMMUNITY MODIFICATION BY AN INTRODUCED HERBIVOROUS SNAIL,,,,,,,,ECOLOGY,,,,65,2,,,370,381,,10.2307/1941400,,,1984,1984,,,,,,,,,,138,5,127,1,150,Dec-58,,WOS:A1984SM29300003,,,,,,,,,,
,,,,d,Spartina alterniflora,"BERTNESS, MD",,,,,,,,RIBBED MUSSELS AND SPARTINA-ALTERNIFLORA PRODUCTION IN A NEW ENGLAND SALT-MARSH,,,,,,,,ECOLOGY,,,,65,6,,,1794,1807,,10.2307/1937776,,,1984,1984,,,,,,,,,,119,1,107,0,119,Dec-58,,WOS:A1984TU02300011,,,,,,,,,,
,,,,d,Spartina alterniflora,"HOFFMAN, JA; KATZ, J; BERTNESS, MD",,,,,,,,FIDDLER CRAB DEPOSIT-FEEDING AND MEIOFAUNAL ABUNDANCE IN SALT-MARSH HABITATS,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,82,2/3/15,,,161,174,,10.1016/0022-0981(84)90101-1,,,1984,1984,,,,,,,,,,60,0,54,0,61,0022-0981,,WOS:A1984TW08200005,,,,,,,,,,
,,,,d,Spartina alterniflora,"VALIELA, I; RIETSMA, CS",,,,,,,,"NITROGEN, PHENOLIC-ACIDS, AND OTHER FEEDING CUES FOR SALT-MARSH DETRITIVORES",,,,,,,,OECOLOGIA,,,,63,3,,,350,356,,10.1007/BF00390664,,,1984,1984,,,,,,,,,,30,2,27,0,32,0029-8549,,WOS:A1984TH17400010,,,,,,,,,,
,,,,102,Spartina alterniflora,"Buchsbaum, R.; Valiela, I.; Teal, J.M.",,,,,,,,Grazing by Canada geese and related aspects of the chemistry of salt marsh grasses.,,,,,,,,Colonial Waterbirds,,,,4,,,,126,131,,10.2307/1521125,,,1981,1981,,,,,,,,,,12,0,10,0,12,0738-6028,,ZOOREC:ZOOR11900031279,,,,,,,,,,
,n,n,,,Spartina alterniflora,"WHITLATCH, RB",,,,,,,,ANIMAL-SEDIMENT RELATIONSHIPS IN INTER-TIDAL MARINE BENTHIC HABITATS - SOME DETERMINANTS OF DEPOSIT-FEEDING SPECIES-DIVERSITY,,,,,,,,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,53,1,,,31,45,,10.1016/0022-0981(81)90082-4,,,1981,1981,,,,,,,,,,106,2,85,2,108,0022-0981,,WOS:A1981LT35000003,,,,,,,,,,
,n,n,,,Spartina alterniflora,"HOWES, BL; HOWARTH, RW; TEAL, JM; VALIELA, I",,,,,,,,OXIDATION-REDUCTION POTENTIALS IN A SALT-MARSH - SPATIAL PATTERNS AND INTERACTIONS WITH PRIMARY PRODUCTION,,,,,,,,LIMNOLOGY AND OCEANOGRAPHY,,,,26,2,,,350,360,,,,,1981,1981,,,,,,,,,,263,2,219,1,266,0024-3590,,WOS:A1981LK08200013,,,,,,,,,,
,,,,d,Spartina alterniflora,"DENNO, RF; RAUPP, MJ; TALLAMY, DW; REICHELDERFER, CF",,,,,,,,"MIGRATION IN HETEROGENEOUS ENVIRONMENTS - DIFFERENCES IN HABITAT SELECTION BETWEEN THE WING FORMS OF THE DIMORPHIC PLANTHOPPER, PROKELISIA-MARGINATA (HOMOPTERA, DELPHACIDAE)",,,,,,,,ECOLOGY,,,,61,4,,,859,867,,10.2307/1936756,,,1980,1980,,,,,,,,,,64,0,59,1,65,Dec-58,,WOS:A1980KN99900016,,,,,,,,,,
,n,n,,,Spartina alterniflora,"Lytle, R. W., Jr.; Hull, R. J.",,,,,,,,Photoassimilate distribution in Spartina alterniflora Loisel. I. Vegetative and floral development.,,,,,,,,Agronomy Journal,,,,72,6,,,933,938,,,,,1980,1980,,,,,,,,,,0,0,0,0,0,Feb-62,,CABI:19810727055,,,,,,,,,,
,,,,d,Spartina alterniflora,"DENNO, RF; GRISSELL, EE",,,,,,,,"ADAPTIVENESS OF WING-DIMORPHISM IN THE SALT MARSH-INHABITING PLANTHOPPER, PROKELISIA-MARGINATA (HOMOPTERA, DELPHACIDAE)",,,,,,,,ECOLOGY,,,,60,1,,,221,236,,10.2307/1936482,,,1979,1979,,,,,,,,,,67,0,62,1,68,Dec-58,,WOS:A1979GW05900023,,,,,,,,,,
,,,,d,Spartina alterniflora,"TALLAMY, DW; DENNO, RF",,,,,,,,RESPONSES OF SAP-FEEDING INSECTS (HOMOPTERA-HEMIPTERA) TO SIMPLIFICATION OF HOST PLANT STRUCTURE,,,,,,,,ENVIRONMENTAL ENTOMOLOGY,,,,8,6,,,1021,1028,,,,,1979,1979,,,,,,,,,,15,0,14,0,15,0046-225X,,WOS:A1979JD02600013,,,,,,,,,,
